   text	   data	    bss	    dec	    hex	filename
    380	      0	      0	    380	    17c	../../..//mediatek/platform/mt6575/uboot/addr_trans.o
   5042	      8	   4768	   9818	   265a	../../..//mediatek/platform/mt6575/uboot/bmt.o
    192	      0	      4	    196	     c4	../../..//mediatek/platform/mt6575/uboot/boot_mode.o
    777	      0	      0	    777	    309	../../..//mediatek/platform/mt6575/uboot/irq.o
   5179	      0	     28	   5207	   1457	../../..//mediatek/platform/mt6575/uboot/load_image.o
     48	      0	      0	     48	     30	../../..//mediatek/platform/mt6575/uboot/lowlevel_init.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6575/uboot/mmc_core.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6575/uboot/mmc_test.o
  11062	      0	    232	  11294	   2c1e	../../..//mediatek/platform/mt6575/uboot/msdc.o
    220	      0	      0	    220	     dc	../../..//mediatek/platform/mt6575/uboot/msdc_utils.o
  10560	    184	    592	  11336	   2c48	../../..//mediatek/platform/mt6575/uboot/mt6575_bat.o
    878	      0	      0	    878	    36e	../../..//mediatek/platform/mt6575/uboot/mt6575_board.o
     60	      0	      0	     60	     3c	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_assert_layer.o
   1767	      0	      0	   1767	    6e7	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dbi.o
   2649	      0	     24	   2673	    a71	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dpi.o
   4748	      0	     28	   4776	   12a8	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dsi.o
   5901	      0	    584	   6485	   1955	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv.o
   2234	      0	    188	   2422	    976	../../..//mediatek/platform/mt6575/uboot/mt6575_dpi_drv.o
   8450	      0	    364	   8814	   226e	../../..//mediatek/platform/mt6575/uboot/mt6575_dsi_drv.o
    288	      0	      0	    288	    120	../../..//mediatek/platform/mt6575/uboot/mt6575_factory.o
    316	    224	     32	    572	    23c	../../..//mediatek/platform/mt6575/uboot/mt6575_gpio_init.o
   5563	      4	      0	   5567	   15bf	../../..//mediatek/platform/mt6575/uboot/mt6575_gpio.o
   1651	      0	      0	   1651	    673	../../..//mediatek/platform/mt6575/uboot/mt6575_i2c.o
    349	      0	      0	    349	    15d	../../..//mediatek/platform/mt6575/uboot/mt6575_key.o
   8575	      0	   4056	  12631	   3157	../../..//mediatek/platform/mt6575/uboot/mt6575_lcd_drv.o
   2134	      0	      4	   2138	    85a	../../..//mediatek/platform/mt6575/uboot/mt6575_logo.o
   1066	      0	      0	   1066	    42a	../../..//mediatek/platform/mt6575/uboot/mt6575_meta.o
   8144	   1752	    168	  10064	   2750	../../..//mediatek/platform/mt6575/uboot/mt6575_nand.o
    424	      0	     12	    436	    1b4	../../..//mediatek/platform/mt6575/uboot/mt6575.o
    264	      0	      0	    264	    108	../../..//mediatek/platform/mt6575/uboot/mt6575_pll.o
  24180	      4	     12	  24196	   5e84	../../..//mediatek/platform/mt6575/uboot/mt6575_pmic6329.o
   5842	     28	      8	   5878	   16f6	../../..//mediatek/platform/mt6575/uboot/mt6575_pwm.o
    481	      0	      0	    481	    1e1	../../..//mediatek/platform/mt6575/uboot/mt6575_recovery.o
   1443	      0	      0	   1443	    5a3	../../..//mediatek/platform/mt6575/uboot/mt6575_rtc.o
   1700	      0	      0	   1700	    6a4	../../..//mediatek/platform/mt6575/uboot/mt6575_sleep.o
   1834	     28	      4	   1866	    74a	../../..//mediatek/platform/mt6575/uboot/mt65xx_leds.o
    767	      0	      0	    767	    2ff	../../..//mediatek/platform/mt6575/uboot/mtk_auxadc.o
   1177	      0	      8	   1185	    4a1	../../..//mediatek/platform/mt6575/uboot/mtk_serial.o
   1244	      0	      8	   1252	    4e4	../../..//mediatek/platform/mt6575/uboot/mtk_timer.o
    411	      0	      4	    415	    19f	../../..//mediatek/platform/mt6575/uboot/mtk_wdt.o
   1605	      0	   4236	   5841	   16d1	../../..//mediatek/platform/mt6575/uboot/partition_mt.o
